product_id,name,category,price_eur,in_stock
1,Multi-layered systemic attitude,Sports,30.78,False
2,Synergistic encompassing array,Electronics,336.58,True
3,Expanded zero-defect parallelism,Sports,105.09,True
4,Organized background migration,Home,436.74,True
5,Devolved discrete ability,Sports,123.92,True
6,Versatile actuating circuit,Electronics,436.44,True
7,Focused hybrid archive,Toys,59.22,True
8,Decentralized homogeneous superstructure,Books,301.34,True
9,Cloned heuristic portal,Clothing,475.06,True
10,Pre-emptive national hardware,Electronics,358.81,True
11,Versatile background core,Toys,396.15,False
12,Exclusive human-resource hub,Toys,144.07,True
13,Assimilated context-sensitive analyzer,Home,346.20,True
14,Implemented content-based firmware,Home,284.51,True
15,Phased intermediate matrix,Sports,387.71,False
16,Realigned object-oriented architecture,Sports,474.07,True
17,Proactive value-added Internet solution,Sports,249.62,True
18,Reverse-engineered composite methodology,Sports,335.31,False
19,Synergistic solution-oriented synergy,Home,426.63,False
20,Synchronized upward-trending intranet,Books,186.39,True
21,Extended heuristic contingency,Home,282.15,True
22,Future-proofed real-time framework,Toys,123.69,True
23,Function-based full-range emulation,Toys,250.13,True
24,Programmable optimizing workforce,Sports,148.28,False
25,Multi-tiered zero-defect infrastructure,Books,56.73,True
26,Switchable composite array,Electronics,174.27,True
27,Future-proofed optimizing adapter,Books,160.47,True
28,Horizontal encompassing definition,Electronics,309.36,False
29,Monitored modular encryption,Clothing,480.78,True
30,Secured user-facing moderator,Books,262.20,True
31,Streamlined system-worthy customer loyalty,Sports,139.90,False
32,Exclusive foreground capacity,Toys,408.54,False
33,Universal user-facing task-force,Sports,337.46,True
34,Compatible interactive help-desk,Home,351.41,True
35,Quality-focused directional frame,Electronics,145.28,True
36,Advanced composite customer loyalty,Electronics,143.90,True
37,Fully-configurable incremental project,Books,225.23,False
38,Down-sized secondary service-desk,Electronics,195.23,False
39,Seamless full-range customer loyalty,Electronics,387.46,True
40,De-engineered executive capacity,Sports,21.86,False
41,Grass-roots needs-based protocol,Toys,148.99,True
42,Reactive disintermediate hierarchy,Electronics,156.55,True
43,Horizontal stable synergy,Clothing,70.49,True
44,Re-contextualized transitional customer loyalty,Toys,473.86,True
45,Mandatory foreground knowledgebase,Books,427.06,True
46,Open-source needs-based Internet solution,Sports,244.23,True
47,Cross-platform user-facing focus group,Sports,264.87,True
48,Compatible homogeneous implementation,Sports,481.73,False
49,Extended secondary strategy,Toys,191.31,True
50,Team-oriented foreground project,Toys,168.94,True
51,Triple-buffered composite benchmark,Toys,361.77,True
52,Multi-tiered non-volatile success,Electronics,397.15,True
53,Synergistic bi-directional Graphical User Interface,Clothing,296.88,False
54,Fully-configurable background standardization,Home,362.56,False
55,Multi-lateral empowering firmware,Electronics,160.26,False
56,Extended mobile conglomeration,Electronics,349.97,True
57,Multi-layered intangible middleware,Sports,407.12,True
58,Re-contextualized client-driven intranet,Clothing,257.77,True
59,Digitized actuating focus group,Toys,469.31,True
60,Focused radical software,Toys,446.37,True
61,User-friendly executive orchestration,Sports,491.10,True
62,Self-enabling clear-thinking customer loyalty,Books,325.02,True
63,Seamless 24hour database,Electronics,304.56,False
64,Distributed disintermediate extranet,Home,228.28,True
65,Compatible secondary open architecture,Toys,286.49,True
66,Realigned intermediate focus group,Electronics,118.41,True
67,Universal intermediate analyzer,Electronics,286.94,True
68,Organized logistical productivity,Clothing,222.72,True
69,Reverse-engineered homogeneous success,Books,159.00,True
70,Advanced system-worthy success,Toys,134.20,True
71,Fundamental logistical attitude,Books,268.41,True
72,Fundamental dedicated capacity,Books,263.64,True
73,Ergonomic bandwidth-monitored groupware,Electronics,84.46,True
74,Re-engineered modular ability,Clothing,31.28,True
75,Multi-layered content-based challenge,Toys,152.31,True
76,Progressive fault-tolerant complexity,Toys,269.90,True
77,Total client-server conglomeration,Books,208.09,False
78,Compatible transitional core,Books,319.80,True
79,Team-oriented bottom-line extranet,Sports,377.95,True
80,Intuitive contextually-based monitoring,Clothing,450.73,True
81,Mandatory fresh-thinking emulation,Clothing,246.31,True
82,Customizable fault-tolerant framework,Electronics,226.04,True
83,Visionary context-sensitive adapter,Home,19.76,False
84,Customizable clear-thinking toolset,Clothing,287.39,True
85,Sharable solution-oriented interface,Clothing,286.49,True
86,Exclusive encompassing benchmark,Books,196.55,True
87,Multi-lateral zero tolerance hardware,Sports,132.73,False
88,Managed asymmetric hierarchy,Clothing,371.42,True
89,Intuitive high-level analyzer,Electronics,72.65,True
90,Ergonomic cohesive success,Clothing,298.42,False
91,Self-enabling impactful firmware,Toys,47.16,True
92,Business-focused bifurcated database,Sports,314.98,False
93,Exclusive clear-thinking firmware,Electronics,376.55,False
94,Proactive 24/7 encoding,Toys,159.53,True
95,Devolved motivating Graphical User Interface,Books,66.74,False
96,Focused next generation Graphical User Interface,Sports,230.63,True
97,Ergonomic multi-state product,Electronics,287.61,True
98,Intuitive asymmetric projection,Books,134.52,True
99,Down-sized neutral workforce,Sports,323.65,True
100,Self-enabling multimedia open system,Sports,414.40,False
